"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","302","Não deve criar usuário com JSON malformado","api-tests.tests","Mon Jan 19 08:15:46 UTC 2026","passed","Mon Jan 19 08:15:46 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","12568","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:14:21 UTC 2026","passed","Mon Jan 19 08:14:33 UTC 2026","","test_checkout_steps","",""
"","754","Deve atualizar um usuário existente","api-tests.tests","Mon Jan 19 08:15:47 UTC 2026","passed","Mon Jan 19 08:15:48 UTC 2026","TestUsersAPI","test_users","",""
"","1352","Deve listar todos os usuários com sucesso","api-tests.tests","Mon Jan 19 08:15:42 UTC 2026","passed","Mon Jan 19 08:15:44 UTC 2026","TestUsersAPI","test_users","",""
"","343","Não deve remover usuário inexistente","api-tests.tests","Mon Jan 19 08:15:50 UTC 2026","passed","Mon Jan 19 08:15:50 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","14493","Compra finalizada com Bank Transfer","e2e_tests.step_defs","Mon Jan 19 08:13:10 UTC 2026","passed","Mon Jan 19 08:13:25 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","14418","Compra finalizada com Credit Card","e2e_tests.step_defs","Mon Jan 19 08:14:33 UTC 2026","passed","Mon Jan 19 08:14:48 UTC 2026","","test_checkout_steps","",""
"","787","Deve remover um usuário existente","api-tests.tests","Mon Jan 19 08:15:49 UTC 2026","passed","Mon Jan 19 08:15:50 UTC 2026","TestUsersAPI","test_users","",""
"","746","Não deve criar usuário duplicado","api-tests.tests","Mon Jan 19 08:15:46 UTC 2026","passed","Mon Jan 19 08:15:47 UTC 2026","TestUsersAPI","test_users","",""
"","341","Não deve atualizar usuário inexistente","api-tests.tests","Mon Jan 19 08:15:48 UTC 2026","passed","Mon Jan 19 08:15:48 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login sem preencher campos","1525","Tentativa de login sem preencher campos","e2e_tests.step_defs","Mon Jan 19 08:13:50 UTC 2026","passed","Mon Jan 19 08:13:52 UTC 2026","","test_login_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login com email inválido","2658","Tentativa de login com email inválido","e2e_tests.step_defs","Mon Jan 19 08:13:47 UTC 2026","passed","Mon Jan 19 08:13:50 UTC 2026","","test_login_steps","",""
"","366","Não deve criar usuário com email inválido","api-tests.tests","Mon Jan 19 08:15:45 UTC 2026","passed","Mon Jan 19 08:15:45 UTC 2026","TestUsersAPI","test_users","",""
"","691","Não deve permitir atualização sem autenticação","api-tests.tests","Mon Jan 19 08:15:48 UTC 2026","passed","Mon Jan 19 08:15:49 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","14378","Compra finalizada com Cash on Delivery","e2e_tests.step_defs","Mon Jan 19 08:14:06 UTC 2026","passed","Mon Jan 19 08:14:20 UTC 2026","","test_checkout_steps","",""
"","380","Deve criar um novo usuário com sucesso","api-tests.tests","Mon Jan 19 08:15:45 UTC 2026","passed","Mon Jan 19 08:15:45 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","14477","Compra finalizada com Buy Now Pay Later","e2e_tests.step_defs","Mon Jan 19 08:15:00 UTC 2026","passed","Mon Jan 19 08:15:15 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","12502","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:15:15 UTC 2026","passed","Mon Jan 19 08:15:28 UTC 2026","","test_checkout_steps","",""
"","303","Não deve permitir criação sem autenticação","api-tests.tests","Mon Jan 19 08:15:47 UTC 2026","passed","Mon Jan 19 08:15:47 UTC 2026","TestUsersAPI","test_users","",""
"","755","Deve buscar um usuário existente com sucesso","api-tests.tests","Mon Jan 19 08:15:44 UTC 2026","passed","Mon Jan 19 08:15:44 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","12517","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:13:25 UTC 2026","passed","Mon Jan 19 08:13:37 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","12566","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:14:48 UTC 2026","passed","Mon Jan 19 08:15:00 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","14403","Compra finalizada com Gift Card","e2e_tests.step_defs","Mon Jan 19 08:15:28 UTC 2026","passed","Mon Jan 19 08:15:42 UTC 2026","","test_checkout_steps","",""
"","357","Não deve criar usuário sem campos obrigatórios","api-tests.tests","Mon Jan 19 08:15:45 UTC 2026","passed","Mon Jan 19 08:15:46 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra de um único produto","14108","Compra de um único produto","e2e_tests.step_defs","Mon Jan 19 08:13:52 UTC 2026","passed","Mon Jan 19 08:14:06 UTC 2026","","test_checkout_steps","",""
"","687","Não deve permitir remoção sem autenticação","api-tests.tests","Mon Jan 19 08:15:50 UTC 2026","passed","Mon Jan 19 08:15:51 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra de um único produto","14526","Compra de um único produto","e2e_tests.step_defs","Mon Jan 19 08:12:56 UTC 2026","passed","Mon Jan 19 08:13:10 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login com senha inválida","3408","Tentativa de login com senha inválida","e2e_tests.step_defs","Mon Jan 19 08:13:44 UTC 2026","passed","Mon Jan 19 08:13:47 UTC 2026","","test_login_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Login com credenciais válidas","6241","Login com credenciais válidas","e2e_tests.step_defs","Mon Jan 19 08:13:37 UTC 2026","skipped","Mon Jan 19 08:13:44 UTC 2026","","test_login_steps","",""
"","347","Não deve retornar usuário inexistente","api-tests.tests","Mon Jan 19 08:15:44 UTC 2026","passed","Mon Jan 19 08:15:45 UTC 2026","TestUsersAPI","test_users","",""
